Date,Description,Amount
7/1/2025,Walmart Supercenter,-82.5
7/2/2025,Netflix Subscription,-15.99
7/3/2025,Salary - Direct Deposit,3200.0
7/4/2025,Shell Gas Station,-45.75
7/5/2025,Amazon Marketplace,-102.3
7/7/2025,Chick-fil-A,-18.9
7/8/2025,Target Purchase,-67.1
7/9/2025,Chase Credit Card Payment,-500.0
7/10/2025,AT&T Internet,-65.0
7/12/2025,Kroger Groceries,-134.6
7/13/2025,Electricity Bill,-97.45
7/15/2025,Starbucks,-8.95
7/16/2025,Uber Ride,-24.1
7/17/2025,Insurance - Auto,-150.0
7/18/2025,Dentist Appointment,-120.0
7/20/2025,Apple Music,-9.99
7/22/2025,Walgreens Pharmacy,-36.8
7/24/2025,YouTube Premium,-11.99
7/25/2025,Home Rent Payment,-1600.0
7/27/2025,Lyft Ride,-19.75
7/28/2025,Trader Joe’s,-59.35
7/30/2025,Zelle Transfer - Friend,-75.0
