Date,Description,Amount
2024-01-01,PAYROLL DEPOSIT,3500.0
2024-01-02,WALMART SUPERCENTER,-85.5
2024-01-03,NETFLIX SUBSCRIPTION,-15.99
2024-01-05,SHELL GAS STATION,-45.2
2024-01-07,STARBUCKS COFFEE,-12.75
2024-01-10,AMAZON PURCHASE,-125.3
2024-01-12,ELECTRIC COMPANY,-120.0
2024-01-15,MCDONALDS,-8.99
2024-01-18,UBER RIDE,-18.5
2024-01-20,KROGER GROCERY,-75.4
2024-01-22,ATM WITHDRAWAL FEE,-3.5
2024-01-25,PHARMACY CVS,-25.8
2024-01-28,RENT PAYMENT,-1200.0
2024-01-30,SPOTIFY PREMIUM,-9.99
2024-02-01,PAYROLL DEPOSIT,3500.0
2024-02-03,TARGET STORE,-95.75
2024-02-05,NETFLIX SUBSCRIPTION,-15.99
2024-02-08,SHELL GAS STATION,-52.3
2024-02-10,STARBUCKS COFFEE,-15.25
2024-02-12,UBER RIDE,-22.0
2024-02-15,ELECTRIC COMPANY,-135.0
2024-02-18,CHICK-FIL-A DINING,-18.99
2024-02-20,LYFT RIDE,-25.5
2024-02-22,WALMART SUPERCENTER,-82.6
2024-02-25,INTERNET BILL,-75.0
2024-02-28,RENT PAYMENT,-1200.0
